,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
22,1,1,1,3,1,2.532077245948673,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
24,1,1,1,2,0,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,-0.9861951696346355,Academics
25,1,1,1,3,0,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.5,-0.9861951696346355,Academics
26,1,1,1,3,1,2.532077245948673,-0.04850641757804155,1,0,0,0,0.0,-0.9861951696346355,Academics
27,1,1,1,0,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
28,1,1,1,3,1,1.5415614168230682,0.6708217067326878,1,0,0,0,0.0,2.9399326411438857,Academics
29,1,1,1,1,0,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
30,1,1,1,0,0,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,-0.9861951696346355,Academics
31,1,1,1,2,1,-1.429986070553747,0.6708217067326878,0,0,0,0,0.5,0.5842559546767729,Academics
32,1,1,1,3,0,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.0,0.5842559546767729,Academics
34,1,1,1,0,0,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,-0.2009696074789313,Academics
36,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.5,-0.2009696074789313,Academics
37,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.5,-0.9861951696346355,Academics
38,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.5,-0.9861951696346355,Academics
39,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.5,-0.9861951696346355,Academics
40,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
42,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
43,1,1,1,2,0,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.5,-0.9861951696346355,Academics
45,1,1,1,2,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.5,-0.9861951696346355,Academics
46,1,1,1,3,1,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.5,-0.9861951696346355,Academics
47,1,1,1,2,0,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.5,-0.9861951696346355,Academics
48,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.5,-0.9861951696346355,Academics
50,1,1,1,2,1,-0.43947024142814195,-0.04850641757804155,1,0,0,0,0.5,-0.2009696074789313,Academics
52,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.5,-0.2009696074789313,Academics
53,1,1,1,0,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.5,-0.2009696074789313,Academics
54,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.5,-0.9861951696346355,Academics
55,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
56,1,1,1,2,1,-0.43947024142814195,-1.4871626661995003,1,0,0,0,0.5,-0.2009696074789313,Academics
59,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.5,-0.2009696074789313,Academics
60,1,1,0,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
61,1,1,0,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.5,0.5842559546767729,Academics
62,1,1,0,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.0,-0.9861951696346355,Academics
63,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.0,-0.9861951696346355,Academics
64,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
65,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,1,0,0,1,0.5,-0.9861951696346355,Academics
67,1,1,1,2,0,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
69,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,1,0.0,0.5842559546767729,Academics
